numero_passage,sortie,sortie_choix_libre,sortie_passage_ignore,nombre_de_cases,nombre_de_coches_requises,action,duree,environnement,illustration,carte,description_fin,combat,blessure,objet_acquis,objet_perdu,objet_requis,type_de_stockage,competence_requise,test_aleatoire,code_acquis,code_perdu,code_requis,etat_du_monde_acquis,etat_du_monde_requis,divinite_acquise,divinite_perdue,divinite_requise,resurrection_acquise,resurrection_perdue,benediction_acquise,benediction_perdue,niveau_equipage_modifie,titre_et_honneur_acquis,titre_et_honneur_perdu,sortie_objet_acquis,sortie_objet_perdu,sortie_objet_requis,sortie_test_competence,sortie_test_aleatoire,sortie_code_acquis,sortie_code_requis,sortie_etat_du_monde_acquis,sortie_etat_du_monde_requis,sortie_condition_requise,sortie_classe_requise,sortie_divinite_acquise,sortie_divinite_requise,sortie_benediction_perdue,sortie_benediction_requise,sortie_titre_et_honneur_requis,sortie_niveau_equipage_modifie,sortie_niveau_equipage_requis,sortie_nombre_de_coches_requises,sortie_autre_livre,doute,commentaire
6,10,0,,,,butiner,,,,,,,,"charde (60), mandoline, potion de soin, parchemin d'Ebron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,110,0,,,,voyager,jour (plusieurs),"colline, forêt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,0,,,,"se faire téléporter, dialoguer",,cité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,272,0,1,,,"dialoguer, observer",,"cité, bureau","""Vous remaquez plusieurs nuages étranges qui planent au-dessus de la cité. Ils ont la forme de démons gigantesques tentant de s'abbatre sur la ville.""",,,,,,,,,,,Altitude,,,,,,,,,,,,,,,,,,,,,Altitude,,,,,,,,,,,,,,,
,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,50,0,1,4,,"visiter, emménager",,cité,"Deux images. Sur la première, divers personnages semblent souffrir de la puenteur. Sur la seconde, la ville de Port-Jaune est envahie par la fumée et encadrée par un dragon.",,,,,,charde (200),charde (200),,,,,,,maison à Port-Jaune,,,,,,,,,,,,,,,,,,Assassin,,,,,,,,,,,,,,,
,273,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livre des Sept Sages,,,,Artefact,,,,,,,,,,,,,,,
,523,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,555,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,405,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,506,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,526,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,621,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,558,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,65,0,,,,explorer,,colline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,116,0,,,,"conter, embrasser, nager, observer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancre,,,,,,,,,,,,,,,
,238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,e,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,niveau supérieur ou égal à 4,,,,,,,,,,Par-delà la mer de sang noir (55),,
,507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,niveau inférieur à 4,,,,,,,,,,,,
14,x,0,,,,"se faire poignarder, dialoguer, combattre",,,,,combat fatal contre un voyou,voyou,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,542,0,1,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,titre de Protecteur du Sokara,,,,,,,,,,,,,
,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,251,0,1,1,,"se cacher, butiner",,tanière,,,,,,"épée enchantée, armure de plates, baguette d'ébène, charde (500), mandoline magique, boussole d'or, kit de crochetage magique, insigne sacré en argent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,648,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animosité,,,,,,,,,,,,,,,
,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,626,0,,,,"observer, tomber, dialoguer",,caverne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
,268,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piété,,,,,,,,,,,,,,,,,,
18,10,0,,,,conter,,,,,,,,charde (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,276,0,,3,3,,,,,,,,,"épée, armure lourde",,,,,,Artisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,192,2,,,,"dialoguer, suivre, explorer",,colline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,257,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10,0,,,,"combattre, manipuler",,rue,,,,voyou,1,charde (15),charde (50),,,,,,,,,,,,,,,,,,,,,,,Charisme,,,,,,,,,,,,,,,,,,
22,539,0,,,,combattre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combat,,,,,,,,,,,,,,,,,,
,647,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combat,,,,,,,,,,,,,,,,,,
23,479,2,,,,dialoguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,520,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,644,0,,,,incanter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magie,,,,,,,,,,,,,,,,,,
,208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magie,,,,,,,,,,,,,,,,,,
25,399,0,,,,dialoguer,,salle du trône,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artère,,,,,,,,,,,,,,,
,474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appât,,,,,,,,,,,,,,,,
26,e,0,,,,naviguer,jour (plusieurs),mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Par-delà la mer de sang noir (100),,
27,10,0,,,,s'infiltrer,,palais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,560,2,,,,"chevaucher, esquiver",nuit (1),colline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,558,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,613,0,,,,naviguer,,"mer, côte","""Marché de Port-Jaune""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,439,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
,165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,,,,,,,,,,,,,,,,,
30,200,1,,,,,,marché,,,,,,"armure de cuir, broigne, cotte de mailles, arme, baguette d'ambre, mandoline, insigne sacré, boussole, corde, lanterne, matériel d'escalade, mort-aux-rats, charde (selon ventes)","armure de cuir, broigne, cotte de mailles, arme, baguette d'ambre, mandoline, insigne sacré, boussole, corde, lanterne, matériel d'escalade, mort-aux-rats, armure d'éclisse, armure de plates, armure lourde, baguette d'ébène, baguette de cobalt, outils de crochetage, sac de perles, pépite d'argent, charde (selon achats), carte au trésor, flûte en argent","armure de cuir, broigne, cotte de mailles, arme, baguette d'ambre, mandoline, insigne sacré, boussole, corde, lanterne, matériel d'escalade, mort-aux-rats, armure d'éclisse, armure de plates, armure lourde, baguette d'ébène, baguette de cobalt, outils de crochetage, sac de perles, pépite d'argent, charde (selon achats), carte au trésor, flûte en argent",,,,,,,,,,,,,,,,,,,carte au trésor,charde (200),charde (200),,,,,,,,,,,,,,,,,,,
,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,510,0,,,,"ressusciter, dialoguer",,bassin,,,,,,,,,,,,Aklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,406,0,,,,explorer,,désert,L'image montre quelques arbres et une dune ou une montagne au loin. Sans rapport avec le passage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artefact,,,,,,,,,,,,,,,
,492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,282,0,,,,commercer,,temple,,,,,,,charde (800),charde (800),,,,,,,,,,,Tyrnai,"""Temple de Tyrnai, Le Royaume déchiré 640""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,658,0,,,,"escalader, se blesser",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,515,2,,,,explorer,,falaise,"""Un ancien pillier de roches diverses, battu par les intempéries, est planté au bord du gouffre tel un doigt brisé pointant le ciel. Des mouettes poussent leur chant de désolation un peu plus haut.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,602,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,128,0,,,,"marcher, se perdre",jour (plusieurs),"forêt, côte",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,507,0,,,,"pêcher, fouiller",,mer,,,,,,sac de perles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,209,0,1,,,naviguer,,mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protection des Tempêtes,Protection des Tempêtes,,,,,,,"Dans ce type passage, le type de navire et le niveau de l'équipage déterminent le nombre de dés et les bonus lors du test aléatoire."
,325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barque, brigantin, galion",,"1d6, 2d6, 3d6",,,,,,,,,,,,,"bon, hors pair",,,,
,397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barque, brigantin, galion",,"1d6, 2d6, 3d6",,,,,,,,,,,,,"bon, hors pair",,,,
,209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barque, brigantin, galion",,"1d6, 2d6, 3d6",,,,,,,,,,,,,"bon, hors pair",,,,
39,194,0,,,,"embarquer, fouiller",,,L'image montre des ruines illuminées par un soleil couchant ou levant. Sans rapport avec le passage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
,465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
40,10,0,,,,"valider une quête, apprendre",,taverne,,,,,,,Livre des Sept Sages,Livre des Sept Sages,,,,,Artefact,,secrets du Temple de Molhern appris,,,,,,,,,,Illuminé de Molhern,,,,,,,,,,,,,,,,,,,,,,,
41,35,2,,,,"explorer, observer¨",,temple,L'image montre un vieux temple décrépit et quelques silhouettes humanoïdes qui l'entourent. Sans rapport avec le passage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,592,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,487,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,423,0,,,,combattre,,,,,,homme-rat (2),,,mort-aux-rats,mort-aux-rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,combat gagné,,,,,,,,,,,,
,308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combat perdu,,,,,,,,,,,,
43,x,0,,,,combattre,,,,,combat fatal contre le gardien du tombeau,gardien du tombeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,490,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,100,0,,,,se cacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,617,2,,,,"explorer, combattre",,cimetière,Deux images. La première montre une goule surgissant de sa tombe. L'autre est un portrait du visage pourrissant de la goule.,,,,,,,,,,,,,,"""Morsure de goule""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mélange de sel et de limaille de fer,,,,,,,,,,,,,,,,,,,
46,405,0,,,,"investir, dialoguer",,banque,,,,,,,,,investissement (charde),,,,"Almanach, Brosse, Éthéré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,596,2,,,,explorer,,forêt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,560,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,387,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,100,0,,,,"dialoguer, accepter une quête",,,,,,,,,,,,,,Affliction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,529,0,,,,"combattre, tomber dans un piège, escalader",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,matériel d'escalade,,1d6,,,,,,,,,,,,,,,,,Le matériel d'escalade confère un bonus au test aléatoire.
,474,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matériel d'escalade,,1d6,,,,,,,,,,,,,,,,,
50,10,0,,,,apprendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,x,0,,,,"se faire aborder, combattre",,navire,,,combat mortel en mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2d6, 3d6",,,,,,Guerrier,,,,,,,"mauvais, bon, hors pair",,,,
,153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2d6, 3d6",,,,,,Guerrier,,,,,,,"mauvais, bon, hors pair",,,,
,242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2d6, 3d6",,,,,,Guerrier,,,,,,,"mauvais, bon, hors pair",,,,
,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2d6, 3d6",,,,,,Guerrier,,,,,,,"mauvais, bon, hors pair",,,,
52,544,0,,,,se faire bénir,,,,,,,,,charde (25),charde (25),,,,,,,,,,,Lacuna,,,Lacuna,,,,,,,,,,,,,,,,,,,,,,,,,,
53,602,2,,,,"fouiller, explorer, nager",,"sous l'eau, fallaise",,,,,,"poche d'encre, bijou en corail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,365,0,,,,combattre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,x,0,,,,"ruser, combattre",seconde (quelques),,,,,cannibale ,,sac de perles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,496,2,,,,"naviguer, observer",,mer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10,0,,,,fuir,,rue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,400,0,,,,"se cacher, assomer, fouiller, dissimuler",,rue,,,,,,"charde (25), oeil d'opale ardent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10,2,,,,fouiller,,"maison, pièce secrète",,,,,,clé vert-de-gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,386,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,534,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,x,0,,,,explorer,,plaine,,,,loup,1,peau de loup,,,,,1d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,518,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,458,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,201,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,10,0,,,,"dialoguer, rejoindre un culte",,,,,,,,tout ce qui a été perdu au passage 508,,,,,,,,,,,Badogor,,aucune autre divinité,,,,,,Indicible Cultiste,,,,,,,,,,,,,,,,,,,,,,,
62,439,0,,,,"butiner, naviguer",,"navire, mer",,,,,,"laisser-passer d'officier, charde (100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,578,0,1,,,"dialoguer, accepter une quête",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,427,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10,0,,,,"tomber dans un piège, butiner",,,,,,,1,parchemin d'Ebron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,128,2,,,,observer,,dolmen,"""Les portes du monde.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,257,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,330,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,17,2,,,,chevaucher,,colline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,90,0,,,,"naviguer, faire l'inventaire",,"navire, mer",,,,,,,cargaison (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,154,0,,,,"dialoguer, abjurer, observer",,port,,,,,,,charde (30),,,,,,,,,,,Alvir et Valmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,526,0,,,,"dialoguer, abjurer, observer",,,,,,,1,,charde (50),,,,,,,,,,,Tyrnai,,,toute résurrection du Temple de Tyrnai,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,90,0,,,,"naviguer, faire l'inventaire",,"navire, mer",,,,,,,cargaison (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,517,0,1,,,"dialoguer, visiter",,temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Affliction,,,,,,,,,,,,,,,
,409,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagil,,,,,,,,,
,478,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,371,2,,,,résister à un poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,527,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,568,0,,,,se faire bénir,,temple,,,,,,,charde (25),,,,,,,,,,,,Elnir,,,Elnir,,,,,,,,,,,,,,,,,,,,,,,,,,
74,10,0,,,,naviguer,,mer,,,,,,,charde (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,235,0,,,,"dialoguer, accepter une quête",,salle isolée,,,,,,,,,,,,Armure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,100,0,,,,"combattre, butiner",minute (quelques),,L'image montre des armes appuyées contre un arbuste et divers objets empilés. Sans rapport avec le passage.,,,,,,"charde (25), laisser-passer d'officier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,141,0,,,,"dialoguer, se faire soigner",,,,,,,,,charde (75),,,,,,,,"plus de poisons, plus de maladies, plus d'afflictions",,,,Maka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,524,0,,,,aucune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
,415,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
79,224,0,,,,fuir,,tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,,,,,,,,,,,,,,,,,
